id,json,is_valid
1,"[4,1,2,7,5,3,8,9,6]",true
2,"[90,40,10,20]",true
3,[-5],true
4,[],false
5,[],false
6,[],false
7,"[21,26,8,29,20,14,1,17,8,14,21,18,2,29,19,1]",true
8,"[4,1,2,7,5,3,10,8,6,11,12,9]",true
9,[],false
10,"[5,1,2,3,9,10,6,4,13,11,7,8,14,15,16,12]",true
11,[],false
12,[],false
13,[],false
14,[],false
15,[],false
16,"[443,997,853,117,925,619,246,797,255,682,487,513,752,546,821,607,966,450,817,575,759,237,460,475,464,103,145,601,751,130,607,781,466,476,807,351,934,760,783,265,769,950,673,646,395,489,790,646,523,695,450,254,422,120,828,949,973,176,359,485,322,995,954,409,914,680,635,123,216,796,919,760,484,981,536,744,204,282,648,893]",true
17,[],false
18,[],false
19,[],false
20,[],false
21,[],false
22,"[390,702,686,976,941,300,324,661,586,847,780,504,597,359,372,511,401,603,371,600,253,399,124,102,147,498,466,422,271,106,958,362,852,459,528,304,140,279,315,438,224,956,681,594,840,373,803,171,560,387,316,303,936,891,256,842,892,944,386,246,285,528,365,368,581,217,284,438,900,905,165,776]",true
23,[],false
24,[],false
25,[],false
26,"[305,678,635,928,666,455,688,635,847,928,135,933,318,232,242,106,563,505,502,245,961,271,144,302,314,391,229,254,721,976,164,862,643,140,510]",true
27,"[515,103,837,990,666,179,695,389,625,104,807,346]",true
28,[],false
29,[],false
30,[],false
31,[],false
32,[],false
33,"[326,467,358,833,693,602,134,938,629,578,722,759,852,142,635,788,201,466,455,603,134,305,317,677,356,434,764,551,154,372,190,709,648,206,156,340,292,554,947,902,907,723,915,759,194,638,179,695,871,364,450,139,500,655,526,343,123,330,847,291,331,435,911,217,532,606,291,569,195,964,457,515,865,212,571,927,279,488,795,207,302,924,613,264,814,443,400,706,588,970,733,414,101,364,491,101,281,378,396]",true
34,"[575,903,454,724,581,203,642,642,697,234,454,383,155,829,232,920,548,556,697,151,796,280,265,948,748,393,794,149,358,648,729,193,896,432,191,910,815,892,476,123,801,949,513,380,159,335,263,893,621,513,700,160,179,672,120,513,550,490,248,188,467,769,145,564,715,814,885,355,546,921,141,724,940,658,994,680,175,258,753,344,415,655,123,604,966,247,959,141,255,509,664,977,974,380,466,715,863,771,385]",true
35,"[171,852,421,395,692,614,706,372,658,822,702,787]",true
36,[],false
37,[],false
38,[],false
39,"[144,245,965,593,639,523,815,155,215,621,513,422,444,767,980,505,739,887,156,767,912,707,401,421,407,788,195,447,923,526,864,799,514,339,941]",true
40,[],false
41,[],false
42,[],false
43,[],false
44,[],false
45,[],false
46,[],false
47,"[744,922,965,236,633,262,283,694,155,103,798,478,681,888,970]",true
48,[],false
49,[],false
